disco,date,band,billing_naira
AEDC,01/11/2020,lifeline,33055.36
AEDC,01/11/2020,band_a,6867847106
AEDC,01/11/2020,band_b,1510874692
AEDC,01/11/2020,band_c,784706243.9
AEDC,01/11/2020,band_d,1305778398
AEDC,01/11/2020,band_e,315883017.8
AEDC,01/12/2020,lifeline,172822.47
AEDC,01/12/2020,band_a,7219051513
AEDC,01/12/2020,band_b,1175020939
AEDC,01/12/2020,band_c,747937051.8
AEDC,01/12/2020,band_d,1292806375
AEDC,01/12/2020,band_e,286982405.5
AEDC,01/01/2021,lifeline,412772.03
AEDC,01/01/2021,band_a,6917325074
AEDC,01/01/2021,band_b,1122013971
AEDC,01/01/2021,band_c,827180937.7
AEDC,01/01/2021,band_d,1535342500
AEDC,01/01/2021,band_e,334961743.4
AEDC,01/02/2021,lifeline,1155520.66
AEDC,01/02/2021,band_a,7374352035
AEDC,01/02/2021,band_b,1510649784
AEDC,01/02/2021,band_c,854839352
AEDC,01/02/2021,band_d,1308272529
AEDC,01/02/2021,band_e,263981556.4
AEDC,01/03/2021,lifeline,20173.19
AEDC,01/03/2021,band_a,7855797831
AEDC,01/03/2021,band_b,1344994791
AEDC,01/03/2021,band_c,822993732.8
AEDC,01/03/2021,band_d,1466592320
AEDC,01/03/2021,band_e,285701619.3
AEDC,01/04/2021,lifeline,7217.96
AEDC,01/04/2021,band_a,7614475755
AEDC,01/04/2021,band_b,1236943743
AEDC,01/04/2021,band_c,830262471.2
AEDC,01/04/2021,band_d,1507846815
AEDC,01/04/2021,band_e,279398185.9
AEDC,01/05/2021,lifeline,6644.69
AEDC,01/05/2021,band_a,6939772478
AEDC,01/05/2021,band_b,1122013971
AEDC,01/05/2021,band_c,710618182.4
AEDC,01/05/2021,band_d,1439441844
AEDC,01/05/2021,band_e,265603610.3
AEDC,01/06/2021,lifeline,31216.04
AEDC,01/06/2021,band_a,6781579761
AEDC,01/06/2021,band_b,1115894488
AEDC,01/06/2021,band_c,779507821.6
AEDC,01/06/2021,band_d,1383601262
AEDC,01/06/2021,band_e,263889166.5
AEDC,01/07/2021,lifeline,79245.79
AEDC,01/07/2021,band_a,7372676168
AEDC,01/07/2021,band_b,1311061314
AEDC,01/07/2021,band_c,948436073.6
AEDC,01/07/2021,band_d,1517167294
AEDC,01/07/2021,band_e,302681558.5
AEDC,01/08/2021,lifeline,266470.25
AEDC,01/08/2021,band_a,7317788090
AEDC,01/08/2021,band_b,1175647602
AEDC,01/08/2021,band_c,846287262.9
AEDC,01/08/2021,band_d,1451253179
AEDC,01/08/2021,band_e,284990565.5
AEDC,01/09/2021,lifeline,139194.93
AEDC,01/09/2021,band_a,7871482638
AEDC,01/09/2021,band_b,1231655359
AEDC,01/09/2021,band_c,848245594.7
AEDC,01/09/2021,band_d,1513205629
AEDC,01/09/2021,band_e,268651363.7
AEDC,01/10/2021,lifeline,73376.57
AEDC,01/10/2021,band_a,8241353863
AEDC,01/10/2021,band_b,1326972706
AEDC,01/10/2021,band_c,867047795.6
AEDC,01/10/2021,band_d,1547967447
AEDC,01/10/2021,band_e,287458277.5
AEDC,01/11/2021,lifeline,112870.29
AEDC,01/11/2021,band_a,8818827983
AEDC,01/11/2021,band_b,1357020423
AEDC,01/11/2021,band_c,907407101.6
AEDC,01/11/2021,band_d,1614753791
AEDC,01/11/2021,band_e,295808993.9
AEDC,01/12/2021,lifeline,234947.73
AEDC,01/12/2021,band_a,8161037341
AEDC,01/12/2021,band_b,1263626311
AEDC,01/12/2021,band_c,879474265.8
AEDC,01/12/2021,band_d,1559328527
AEDC,01/12/2021,band_e,291726508.4
AEDC,01/01/2022,lifeline,782872.29
AEDC,01/01/2022,band_a,7943472533
AEDC,01/01/2022,band_b,1242714425
AEDC,01/01/2022,band_c,895587170.9
AEDC,01/01/2022,band_d,1560129787
AEDC,01/01/2022,band_e,266233001.3
AEDC,01/02/2022,lifeline,121995.44
AEDC,01/02/2022,band_a,7976520587
AEDC,01/02/2022,band_b,1295334990
AEDC,01/02/2022,band_c,852650963.2
AEDC,01/02/2022,band_d,1728831265
AEDC,01/02/2022,band_e,279535189.9
AEDC,01/03/2022,lifeline,90968.55
AEDC,01/03/2022,band_a,8142749180
AEDC,01/03/2022,band_b,1437360180
AEDC,01/03/2022,band_c,852499220.4
AEDC,01/03/2022,band_d,1753686416
AEDC,01/03/2022,band_e,265806920.5
AEDC,01/04/2022,lifeline,222475.84
AEDC,01/04/2022,band_a,7774549745
AEDC,01/04/2022,band_b,1313096945
AEDC,01/04/2022,band_c,784915752.5
AEDC,01/04/2022,band_d,1747579594
AEDC,01/04/2022,band_e,269748214.4
AEDC,01/05/2022,lifeline,39879.84
AEDC,01/05/2022,band_a,7215299739
AEDC,01/05/2022,band_b,1152393590
AEDC,01/05/2022,band_c,732085549.1
AEDC,01/05/2022,band_d,1539062118
AEDC,01/05/2022,band_e,252969864.5
AEDC,01/06/2022,lifeline,33590.27
AEDC,01/06/2022,band_a,7074516918
AEDC,01/06/2022,band_b,1266686177
AEDC,01/06/2022,band_c,770684868.5
AEDC,01/06/2022,band_d,1621922275
AEDC,01/06/2022,band_e,301706440.5
AEDC,01/07/2022,lifeline,82532.23
AEDC,01/07/2022,band_a,7924227353
AEDC,01/07/2022,band_b,1506387056
AEDC,01/07/2022,band_c,887874436
AEDC,01/07/2022,band_d,1762852734
AEDC,01/07/2022,band_e,373950259.2
AEDC,01/08/2022,lifeline,99776.68
AEDC,01/08/2022,band_a,8053683052
AEDC,01/08/2022,band_b,1618369912
AEDC,01/08/2022,band_c,945893560.1
AEDC,01/08/2022,band_d,2273029788
AEDC,01/08/2022,band_e,361511071.6
AEDC,01/09/2022,lifeline,22773.14
AEDC,01/09/2022,band_a,8456326089
AEDC,01/09/2022,band_b,1606250430
AEDC,01/09/2022,band_c,907413853.3
AEDC,01/09/2022,band_d,2215245833
AEDC,01/09/2022,band_e,379684684.9
BEDC,01/11/2020,lifeline,0
BEDC,01/11/2020,band_a,2370200777
BEDC,01/11/2020,band_b,1515550178
BEDC,01/11/2020,band_c,2037758957
BEDC,01/11/2020,band_d,1375187004
BEDC,01/11/2020,band_e,1852847494
BEDC,01/12/2020,lifeline,0
BEDC,01/12/2020,band_a,2335029102
BEDC,01/12/2020,band_b,1294740431
BEDC,01/12/2020,band_c,2059570751
BEDC,01/12/2020,band_d,1337391775
BEDC,01/12/2020,band_e,1868317139
BEDC,01/01/2021,lifeline,0
BEDC,01/01/2021,band_a,2414836824
BEDC,01/01/2021,band_b,1286713146
BEDC,01/01/2021,band_c,2168145012
BEDC,01/01/2021,band_d,1403300806
BEDC,01/01/2021,band_e,1827489338
BEDC,01/02/2021,lifeline,0
BEDC,01/02/2021,band_a,2316783644
BEDC,01/02/2021,band_b,1108065787
BEDC,01/02/2021,band_c,1950808542
BEDC,01/02/2021,band_d,1168150308
BEDC,01/02/2021,band_e,1625441794
BEDC,01/03/2021,lifeline,0
BEDC,01/03/2021,band_a,2046754945
BEDC,01/03/2021,band_b,1444625213
BEDC,01/03/2021,band_c,1859151569
BEDC,01/03/2021,band_d,1292631091
BEDC,01/03/2021,band_e,2208075617
BEDC,01/04/2021,lifeline,0
BEDC,01/04/2021,band_a,1951371571
BEDC,01/04/2021,band_b,1532231055
BEDC,01/04/2021,band_c,1903352511
BEDC,01/04/2021,band_d,1061478074
BEDC,01/04/2021,band_e,2058136341
BEDC,01/05/2021,lifeline,0
BEDC,01/05/2021,band_a,1783833442
BEDC,01/05/2021,band_b,1756507156
BEDC,01/05/2021,band_c,2034888011
BEDC,01/05/2021,band_d,1071965352
BEDC,01/05/2021,band_e,2120761752
BEDC,01/06/2021,lifeline,0
BEDC,01/06/2021,band_a,1894401161
BEDC,01/06/2021,band_b,1374765574
BEDC,01/06/2021,band_c,1742186826
BEDC,01/06/2021,band_d,974168952.9
BEDC,01/06/2021,band_e,2171108647
BEDC,01/07/2021,lifeline,0
BEDC,01/07/2021,band_a,1997462380
BEDC,01/07/2021,band_b,1395798890
BEDC,01/07/2021,band_c,1933361129
BEDC,01/07/2021,band_d,1116377691
BEDC,01/07/2021,band_e,2286070870
BEDC,01/08/2021,lifeline,0
BEDC,01/08/2021,band_a,2143468930
BEDC,01/08/2021,band_b,1486932581
BEDC,01/08/2021,band_c,1758003557
BEDC,01/08/2021,band_d,1072043067
BEDC,01/08/2021,band_e,1970994670
BEDC,01/09/2021,lifeline,330347.5
BEDC,01/09/2021,band_a,2084092834
BEDC,01/09/2021,band_b,1685175941
BEDC,01/09/2021,band_c,2154935677
BEDC,01/09/2021,band_d,1556724854
BEDC,01/09/2021,band_e,1838216391
BEDC,01/10/2021,lifeline,238791.9
BEDC,01/10/2021,band_a,2018657063
BEDC,01/10/2021,band_b,1574529260
BEDC,01/10/2021,band_c,2083728906
BEDC,01/10/2021,band_d,2038863494
BEDC,01/10/2021,band_e,1811118194
BEDC,01/11/2021,lifeline,347676.5
BEDC,01/11/2021,band_a,1779462864
BEDC,01/11/2021,band_b,1715730809
BEDC,01/11/2021,band_c,2534884568
BEDC,01/11/2021,band_d,1692830609
BEDC,01/11/2021,band_e,2243870577
BEDC,01/12/2021,lifeline,103372
BEDC,01/12/2021,band_a,1938529632
BEDC,01/12/2021,band_b,1834897765
BEDC,01/12/2021,band_c,2404726241
BEDC,01/12/2021,band_d,1693958247
BEDC,01/12/2021,band_e,2315183317
BEDC,01/01/2022,lifeline,333503.7
BEDC,01/01/2022,band_a,2107030992
BEDC,01/01/2022,band_b,1708849793
BEDC,01/01/2022,band_c,2347615279
BEDC,01/01/2022,band_d,1598730131
BEDC,01/01/2022,band_e,2136724634
BEDC,01/02/2022,lifeline,329650.9
BEDC,01/02/2022,band_a,2923449210
BEDC,01/02/2022,band_b,1622421513
BEDC,01/02/2022,band_c,2282897824
BEDC,01/02/2022,band_d,1618639240
BEDC,01/02/2022,band_e,2196024250
BEDC,01/03/2022,lifeline,239725
BEDC,01/03/2022,band_a,2293134219
BEDC,01/03/2022,band_b,1349581828
BEDC,01/03/2022,band_c,2080448643
BEDC,01/03/2022,band_d,1369598039
BEDC,01/03/2022,band_e,1841685318
BEDC,01/04/2022,lifeline,230948.7
BEDC,01/04/2022,band_a,2277119292
BEDC,01/04/2022,band_b,1420494910
BEDC,01/04/2022,band_c,2178097904
BEDC,01/04/2022,band_d,1509721023
BEDC,01/04/2022,band_e,1918555834
BEDC,01/05/2022,lifeline,384033
BEDC,01/05/2022,band_a,1943339925
BEDC,01/05/2022,band_b,1373085616
BEDC,01/05/2022,band_c,1991936708
BEDC,01/05/2022,band_d,1410033362
BEDC,01/05/2022,band_e,1836056229
BEDC,01/06/2022,lifeline,485646.3
BEDC,01/06/2022,band_a,2179173604
BEDC,01/06/2022,band_b,1508433885
BEDC,01/06/2022,band_c,2250875947
BEDC,01/06/2022,band_d,1575360312
BEDC,01/06/2022,band_e,2258218468
BEDC,01/07/2022,lifeline,401340.5
BEDC,01/07/2022,band_a,2325568059
BEDC,01/07/2022,band_b,1498537726
BEDC,01/07/2022,band_c,2281601011
BEDC,01/07/2022,band_d,1699723416
BEDC,01/07/2022,band_e,2255279463
BEDC,01/08/2022,lifeline,396202
BEDC,01/08/2022,band_a,3053722018
BEDC,01/08/2022,band_b,1483001632
BEDC,01/08/2022,band_c,2113213826
BEDC,01/08/2022,band_d,1717124834
BEDC,01/08/2022,band_e,2249247733
BEDC,01/09/2022,lifeline,380519.9
BEDC,01/09/2022,band_a,3137765569
BEDC,01/09/2022,band_b,1528471648
BEDC,01/09/2022,band_c,2314962860
BEDC,01/09/2022,band_d,1665392321
BEDC,01/09/2022,band_e,2253485779
EKEDC,01/11/2020,lifeline,0
EKEDC,01/11/2020,band_a,3094375511
EKEDC,01/11/2020,band_b,4018539131
EKEDC,01/11/2020,band_c,1962142087
EKEDC,01/11/2020,band_d,2120536391
EKEDC,01/11/2020,band_e,650553068.5
EKEDC,01/12/2020,lifeline,0
EKEDC,01/12/2020,band_a,3622535204
EKEDC,01/12/2020,band_b,4504881833
EKEDC,01/12/2020,band_c,2221140175
EKEDC,01/12/2020,band_d,2277272508
EKEDC,01/12/2020,band_e,645518193.6
EKEDC,01/01/2021,lifeline,0
EKEDC,01/01/2021,band_a,3463897612
EKEDC,01/01/2021,band_b,4360445168
EKEDC,01/01/2021,band_c,2205168029
EKEDC,01/01/2021,band_d,2360346576
EKEDC,01/01/2021,band_e,619778026.7
EKEDC,01/02/2021,lifeline,0
EKEDC,01/02/2021,band_a,2995133565
EKEDC,01/02/2021,band_b,4087072323
EKEDC,01/02/2021,band_c,2136471844
EKEDC,01/02/2021,band_d,2088669055
EKEDC,01/02/2021,band_e,619242550.5
EKEDC,01/03/2021,lifeline,0
EKEDC,01/03/2021,band_a,2977376513
EKEDC,01/03/2021,band_b,3950468755
EKEDC,01/03/2021,band_c,2155429545
EKEDC,01/03/2021,band_d,1952087517
EKEDC,01/03/2021,band_e,556862360.6
EKEDC,01/04/2021,lifeline,0
EKEDC,01/04/2021,band_a,3230713091
EKEDC,01/04/2021,band_b,4120883861
EKEDC,01/04/2021,band_c,2094443019
EKEDC,01/04/2021,band_d,1805658213
EKEDC,01/04/2021,band_e,587874256
EKEDC,01/05/2021,lifeline,0
EKEDC,01/05/2021,band_a,3060281303
EKEDC,01/05/2021,band_b,3773275413
EKEDC,01/05/2021,band_c,2130406391
EKEDC,01/05/2021,band_d,1943843052
EKEDC,01/05/2021,band_e,613707785.8
EKEDC,01/06/2021,lifeline,0
EKEDC,01/06/2021,band_a,2805608655
EKEDC,01/06/2021,band_b,3337524104
EKEDC,01/06/2021,band_c,2037030868
EKEDC,01/06/2021,band_d,1887495526
EKEDC,01/06/2021,band_e,551578015.4
EKEDC,01/07/2021,lifeline,0
EKEDC,01/07/2021,band_a,2887397618
EKEDC,01/07/2021,band_b,3396681169
EKEDC,01/07/2021,band_c,2194787582
EKEDC,01/07/2021,band_d,2199108450
EKEDC,01/07/2021,band_e,665120955.4
EKEDC,01/08/2021,lifeline,0
EKEDC,01/08/2021,band_a,3039731714
EKEDC,01/08/2021,band_b,3807842756
EKEDC,01/08/2021,band_c,2097054740
EKEDC,01/08/2021,band_d,2322068090
EKEDC,01/08/2021,band_e,721355158.2
EKEDC,01/09/2021,lifeline,0
EKEDC,01/09/2021,band_a,2954085414
EKEDC,01/09/2021,band_b,3806908979
EKEDC,01/09/2021,band_c,1960173391
EKEDC,01/09/2021,band_d,2263463692
EKEDC,01/09/2021,band_e,733752698.9
EKEDC,01/10/2021,lifeline,0
EKEDC,01/10/2021,band_a,3383048263
EKEDC,01/10/2021,band_b,4263207961
EKEDC,01/10/2021,band_c,2299320891
EKEDC,01/10/2021,band_d,2496042573
EKEDC,01/10/2021,band_e,749329913.8
EKEDC,01/11/2021,lifeline,0
EKEDC,01/11/2021,band_a,3452108770
EKEDC,01/11/2021,band_b,4328734595
EKEDC,01/11/2021,band_c,2254898777
EKEDC,01/11/2021,band_d,2409305112
EKEDC,01/11/2021,band_e,729955738.1
EKEDC,01/12/2021,lifeline,0
EKEDC,01/12/2021,band_a,3580720468
EKEDC,01/12/2021,band_b,4249075674
EKEDC,01/12/2021,band_c,2060730699
EKEDC,01/12/2021,band_d,2144008874
EKEDC,01/12/2021,band_e,640741659.5
EKEDC,01/01/2022,lifeline,0
EKEDC,01/01/2022,band_a,3273866528
EKEDC,01/01/2022,band_b,3697691070
EKEDC,01/01/2022,band_c,1847715201
EKEDC,01/01/2022,band_d,1988267184
EKEDC,01/01/2022,band_e,596512983.6
EKEDC,01/02/2022,lifeline,0
EKEDC,01/02/2022,band_a,4137658084
EKEDC,01/02/2022,band_b,2956788136
EKEDC,01/02/2022,band_c,1902688034
EKEDC,01/02/2022,band_d,1430851991
EKEDC,01/02/2022,band_e,280548860.9
EKEDC,01/03/2022,lifeline,0
EKEDC,01/03/2022,band_a,3727970090
EKEDC,01/03/2022,band_b,2530467982
EKEDC,01/03/2022,band_c,1681196895
EKEDC,01/03/2022,band_d,1240671802
EKEDC,01/03/2022,band_e,246481134.2
EKEDC,01/04/2022,lifeline,0
EKEDC,01/04/2022,band_a,3721272882
EKEDC,01/04/2022,band_b,2913512176
EKEDC,01/04/2022,band_c,1842156678
EKEDC,01/04/2022,band_d,1405932881
EKEDC,01/04/2022,band_e,257284717.8
EKEDC,01/05/2022,lifeline,0
EKEDC,01/05/2022,band_a,4189449835
EKEDC,01/05/2022,band_b,3086817894
EKEDC,01/05/2022,band_c,1717361461
EKEDC,01/05/2022,band_d,1494521697
EKEDC,01/05/2022,band_e,263217360.7
EKEDC,01/06/2022,lifeline,0
EKEDC,01/06/2022,band_a,3650751330
EKEDC,01/06/2022,band_b,2547848483
EKEDC,01/06/2022,band_c,1445218798
EKEDC,01/06/2022,band_d,1151704074
EKEDC,01/06/2022,band_e,194394851.2
EKEDC,01/07/2022,lifeline,0
EKEDC,01/07/2022,band_a,3998618314
EKEDC,01/07/2022,band_b,3258203401
EKEDC,01/07/2022,band_c,1675010556
EKEDC,01/07/2022,band_d,1341720132
EKEDC,01/07/2022,band_e,212737866.9
EKEDC,01/08/2022,lifeline,0
EKEDC,01/08/2022,band_a,4355839990
EKEDC,01/08/2022,band_b,3814673998
EKEDC,01/08/2022,band_c,2039843840
EKEDC,01/08/2022,band_d,1615271688
EKEDC,01/08/2022,band_e,293113458.9
EKEDC,01/09/2022,lifeline,0
EKEDC,01/09/2022,band_a,4720797862
EKEDC,01/09/2022,band_b,4149338411
EKEDC,01/09/2022,band_c,2205349893
EKEDC,01/09/2022,band_d,1766379930
EKEDC,01/09/2022,band_e,110569836.7
EEDC,01/11/2020,lifeline,163829.92
EEDC,01/11/2020,band_a,2069861824
EEDC,01/11/2020,band_b,1673176036
EEDC,01/11/2020,band_c,3966127187
EEDC,01/11/2020,band_d,853068285.2
EEDC,01/11/2020,band_e,275530862
EEDC,01/12/2020,lifeline,99299.65
EEDC,01/12/2020,band_a,2283075472
EEDC,01/12/2020,band_b,2230530453
EEDC,01/12/2020,band_c,4065440857
EEDC,01/12/2020,band_d,1056540475
EEDC,01/12/2020,band_e,345756712.2
EEDC,01/01/2021,lifeline,78524.794
EEDC,01/01/2021,band_a,2289816836
EEDC,01/01/2021,band_b,2371494610
EEDC,01/01/2021,band_c,4334411042
EEDC,01/01/2021,band_d,1112388423
EEDC,01/01/2021,band_e,288749894.1
EEDC,01/02/2021,lifeline,689837.1477
EEDC,01/02/2021,band_a,2178293371
EEDC,01/02/2021,band_b,2066973999
EEDC,01/02/2021,band_c,3784488104
EEDC,01/02/2021,band_d,1118354919
EEDC,01/02/2021,band_e,317212204.1
EEDC,01/03/2021,lifeline,425488.3667
EEDC,01/03/2021,band_a,2089713549
EEDC,01/03/2021,band_b,2002883708
EEDC,01/03/2021,band_c,3773263039
EEDC,01/03/2021,band_d,1117724452
EEDC,01/03/2021,band_e,262183060.4
EEDC,01/04/2021,lifeline,269329.8894
EEDC,01/04/2021,band_a,2043026268
EEDC,01/04/2021,band_b,1859781262
EEDC,01/04/2021,band_c,3541374128
EEDC,01/04/2021,band_d,951834308.5
EEDC,01/04/2021,band_e,221785186
EEDC,01/05/2021,lifeline,254216.6906
EEDC,01/05/2021,band_a,2013990211
EEDC,01/05/2021,band_b,1779814922
EEDC,01/05/2021,band_c,3723583776
EEDC,01/05/2021,band_d,986599518.9
EEDC,01/05/2021,band_e,222947149.9
EEDC,01/06/2021,lifeline,213264.444
EEDC,01/06/2021,band_a,1868569461
EEDC,01/06/2021,band_b,1498918273
EEDC,01/06/2021,band_c,3229539996
EEDC,01/06/2021,band_d,1075027537
EEDC,01/06/2021,band_e,325374211.7
EEDC,01/07/2021,lifeline,210265.4703
EEDC,01/07/2021,band_a,1921953382
EEDC,01/07/2021,band_b,1642750553
EEDC,01/07/2021,band_c,3557924150
EEDC,01/07/2021,band_d,1212516418
EEDC,01/07/2021,band_e,426125610.8
EEDC,01/08/2021,lifeline,162790.9824
EEDC,01/08/2021,band_a,1788997373
EEDC,01/08/2021,band_b,1670479681
EEDC,01/08/2021,band_c,3385156611
EEDC,01/08/2021,band_d,1220874323
EEDC,01/08/2021,band_e,385098704.7
EEDC,01/09/2021,lifeline,153095.5477
EEDC,01/09/2021,band_a,1770118599
EEDC,01/09/2021,band_b,1708569900
EEDC,01/09/2021,band_c,3372041074
EEDC,01/09/2021,band_d,1274523113
EEDC,01/09/2021,band_e,387151216.2
EEDC,01/10/2021,lifeline,143449.2687
EEDC,01/10/2021,band_a,1709410500
EEDC,01/10/2021,band_b,1858811470
EEDC,01/10/2021,band_c,3493311367
EEDC,01/10/2021,band_d,1254585271
EEDC,01/10/2021,band_e,366635406.1
EEDC,01/11/2021,lifeline,125875.97
EEDC,01/11/2021,band_a,1885727492
EEDC,01/11/2021,band_b,1895429296
EEDC,01/11/2021,band_c,3555077388
EEDC,01/11/2021,band_d,1192257785
EEDC,01/11/2021,band_e,368524507.3
EEDC,01/12/2021,lifeline,131531.5713
EEDC,01/12/2021,band_a,1855879149
EEDC,01/12/2021,band_b,1940229451
EEDC,01/12/2021,band_c,4006150600
EEDC,01/12/2021,band_d,1410592268
EEDC,01/12/2021,band_e,530566329
EEDC,01/01/2022,lifeline,151140.7274
EEDC,01/01/2022,band_a,1780733067
EEDC,01/01/2022,band_b,1912413857
