disco,date,band,collection_naira
AEDC,01/11/2020,lifeline,1852.98
AEDC,01/11/2020,band_a,6476362522
AEDC,01/11/2020,band_b,1058878527
AEDC,01/11/2020,band_c,728627140.7
AEDC,01/11/2020,band_d,812950115.9
AEDC,01/11/2020,band_e,177326743.8
AEDC,01/12/2020,lifeline,94500
AEDC,01/12/2020,band_a,6806189963
AEDC,01/12/2020,band_b,1091943152
AEDC,01/12/2020,band_c,739098614.2
AEDC,01/12/2020,band_d,862972117.2
AEDC,01/12/2020,band_e,164229811.6
AEDC,01/01/2021,lifeline,165800
AEDC,01/01/2021,band_a,6318211320
AEDC,01/01/2021,band_b,1132128835
AEDC,01/01/2021,band_c,568178250.3
AEDC,01/01/2021,band_d,729267003.5
AEDC,01/01/2021,band_e,166949281
AEDC,01/02/2021,lifeline,12000
AEDC,01/02/2021,band_a,7012347721
AEDC,01/02/2021,band_b,1223423834
AEDC,01/02/2021,band_c,656362492.4
AEDC,01/02/2021,band_d,896152620.5
AEDC,01/02/2021,band_e,188692959.9
AEDC,01/03/2021,lifeline,27346
AEDC,01/03/2021,band_a,7198518847
AEDC,01/03/2021,band_b,1137734240
AEDC,01/03/2021,band_c,663192378.8
AEDC,01/03/2021,band_d,901444666.5
AEDC,01/03/2021,band_e,175776175.5
AEDC,01/04/2021,lifeline,38951
AEDC,01/04/2021,band_a,7005890208
AEDC,01/04/2021,band_b,1060512327
AEDC,01/04/2021,band_c,727650884
AEDC,01/04/2021,band_d,823096928
AEDC,01/04/2021,band_e,163262450
AEDC,01/05/2021,lifeline,28500
AEDC,01/05/2021,band_a,6293167440
AEDC,01/05/2021,band_b,945566050.6
AEDC,01/05/2021,band_c,569063816.8
AEDC,01/05/2021,band_d,742814950.6
AEDC,01/05/2021,band_e,140399272.1
AEDC,01/06/2021,lifeline,13500
AEDC,01/06/2021,band_a,6280080818
AEDC,01/06/2021,band_b,966935370.4
AEDC,01/06/2021,band_c,639121923.9
AEDC,01/06/2021,band_d,764269220.8
AEDC,01/06/2021,band_e,154687640.7
AEDC,01/07/2021,lifeline,85755.8
AEDC,01/07/2021,band_a,7079544784
AEDC,01/07/2021,band_b,1086250984
AEDC,01/07/2021,band_c,997136509.6
AEDC,01/07/2021,band_d,821577307.2
AEDC,01/07/2021,band_e,176726844
AEDC,01/08/2021,lifeline,231788.08
AEDC,01/08/2021,band_a,6773822045
AEDC,01/08/2021,band_b,980676242.2
AEDC,01/08/2021,band_c,605598054.9
AEDC,01/08/2021,band_d,770979246.9
AEDC,01/08/2021,band_e,155076641.6
AEDC,01/09/2021,lifeline,117550
AEDC,01/09/2021,band_a,6835203630
AEDC,01/09/2021,band_b,1056510681
AEDC,01/09/2021,band_c,640731768.9
AEDC,01/09/2021,band_d,781801939.6
AEDC,01/09/2021,band_e,156771907.1
AEDC,01/10/2021,lifeline,135978.7
AEDC,01/10/2021,band_a,7321333385
AEDC,01/10/2021,band_b,1135321983
AEDC,01/10/2021,band_c,797946585.2
AEDC,01/10/2021,band_d,872238086.5
AEDC,01/10/2021,band_e,167340370.6
AEDC,01/11/2021,lifeline,0
AEDC,01/11/2021,band_a,8730871166
AEDC,01/11/2021,band_b,1133267659
AEDC,01/11/2021,band_c,834512265.2
AEDC,01/11/2021,band_d,877279551.8
AEDC,01/11/2021,band_e,172250674.8
AEDC,01/12/2021,lifeline,77600
AEDC,01/12/2021,band_a,6962767118
AEDC,01/12/2021,band_b,1081864608
AEDC,01/12/2021,band_c,807509553.6
AEDC,01/12/2021,band_d,875151076.1
AEDC,01/12/2021,band_e,160823618.5
AEDC,01/01/2022,lifeline,66700
AEDC,01/01/2022,band_a,8090597496
AEDC,01/01/2022,band_b,1092201378
AEDC,01/01/2022,band_c,667656245.4
AEDC,01/01/2022,band_d,885845718
AEDC,01/01/2022,band_e,158078618
AEDC,01/02/2022,lifeline,166601.29
AEDC,01/02/2022,band_a,7509565397
AEDC,01/02/2022,band_b,1096036590
AEDC,01/02/2022,band_c,533296605.1
AEDC,01/02/2022,band_d,877457453.8
AEDC,01/02/2022,band_e,132915918.7
AEDC,01/03/2022,lifeline,33218.75
AEDC,01/03/2022,band_a,6780235295
AEDC,01/03/2022,band_b,1102640884
AEDC,01/03/2022,band_c,601707691.7
AEDC,01/03/2022,band_d,829950526
AEDC,01/03/2022,band_e,135578548.8
AEDC,01/04/2022,lifeline,82500
AEDC,01/04/2022,band_a,7202994171
AEDC,01/04/2022,band_b,1075515448
AEDC,01/04/2022,band_c,697796012.4
AEDC,01/04/2022,band_d,783960082.3
AEDC,01/04/2022,band_e,129602685.4
AEDC,01/05/2022,lifeline,102170
AEDC,01/05/2022,band_a,6511464884
AEDC,01/05/2022,band_b,905500325.8
AEDC,01/05/2022,band_c,448108611
AEDC,01/05/2022,band_d,777364011.3
AEDC,01/05/2022,band_e,141585766.7
AEDC,01/06/2022,lifeline,56400
AEDC,01/06/2022,band_a,6944160818
AEDC,01/06/2022,band_b,1139077970
AEDC,01/06/2022,band_c,752685663.3
AEDC,01/06/2022,band_d,843904521.6
AEDC,01/06/2022,band_e,163555064.8
AEDC,01/07/2022,lifeline,100400
AEDC,01/07/2022,band_a,7321310349
AEDC,01/07/2022,band_b,1354749409
AEDC,01/07/2022,band_c,806976872
AEDC,01/07/2022,band_d,1101025712
AEDC,01/07/2022,band_e,198831569.4
AEDC,01/08/2022,lifeline,90300
AEDC,01/08/2022,band_a,7011645331
AEDC,01/08/2022,band_b,1265390744
AEDC,01/08/2022,band_c,696291490.1
AEDC,01/08/2022,band_d,1123425900
AEDC,01/08/2022,band_e,209287633
AEDC,01/09/2022,lifeline,16500
AEDC,01/09/2022,band_a,7804792804
AEDC,01/09/2022,band_b,1169673456
AEDC,01/09/2022,band_c,684359637.1
AEDC,01/09/2022,band_d,1014377755
AEDC,01/09/2022,band_e,193490207.5
BEDC,01/11/2020,lifeline,0
BEDC,01/11/2020,band_a,1964655672
BEDC,01/11/2020,band_b,631141065.4
BEDC,01/11/2020,band_c,817421722
BEDC,01/11/2020,band_d,505564122.9
BEDC,01/11/2020,band_e,730062691.7
BEDC,01/12/2020,lifeline,0
BEDC,01/12/2020,band_a,1822678035
BEDC,01/12/2020,band_b,532516534
BEDC,01/12/2020,band_c,781395899.9
BEDC,01/12/2020,band_d,467241965.6
BEDC,01/12/2020,band_e,645756594.5
BEDC,01/01/2021,lifeline,0
BEDC,01/01/2021,band_a,1863437392
BEDC,01/01/2021,band_b,649836965.8
BEDC,01/01/2021,band_c,728152182.1
BEDC,01/01/2021,band_d,479070623.6
BEDC,01/01/2021,band_e,712852662.8
BEDC,01/02/2021,lifeline,0
BEDC,01/02/2021,band_a,1892201655
BEDC,01/02/2021,band_b,615000385.2
BEDC,01/02/2021,band_c,794640727
BEDC,01/02/2021,band_d,490132778
BEDC,01/02/2021,band_e,772229323.9
BEDC,01/03/2021,lifeline,0
BEDC,01/03/2021,band_a,2123538009
BEDC,01/03/2021,band_b,841722289.4
BEDC,01/03/2021,band_c,636665653.1
BEDC,01/03/2021,band_d,445033012.9
BEDC,01/03/2021,band_e,875531786
BEDC,01/04/2021,lifeline,0
BEDC,01/04/2021,band_a,1796561972
BEDC,01/04/2021,band_b,826018687.2
BEDC,01/04/2021,band_c,631794929.6
BEDC,01/04/2021,band_d,431799856.5
BEDC,01/04/2021,band_e,881666392.2
BEDC,01/05/2021,lifeline,0
BEDC,01/05/2021,band_a,1542773346
BEDC,01/05/2021,band_b,826302325.4
BEDC,01/05/2021,band_c,695466063.1
BEDC,01/05/2021,band_d,461035301.4
BEDC,01/05/2021,band_e,952905251.8
BEDC,01/06/2021,lifeline,0
BEDC,01/06/2021,band_a,1979584762
BEDC,01/06/2021,band_b,781048793.8
BEDC,01/06/2021,band_c,806561225.7
BEDC,01/06/2021,band_d,435117724.2
BEDC,01/06/2021,band_e,997204314.3
BEDC,01/07/2021,lifeline,0
BEDC,01/07/2021,band_a,1837100634
BEDC,01/07/2021,band_b,772799089.2
BEDC,01/07/2021,band_c,786820562.1
BEDC,01/07/2021,band_d,459824278.1
BEDC,01/07/2021,band_e,979842447.6
BEDC,01/08/2021,lifeline,0
BEDC,01/08/2021,band_a,2050211909
BEDC,01/08/2021,band_b,821208412.7
BEDC,01/08/2021,band_c,737972610.5
BEDC,01/08/2021,band_d,500667881.1
BEDC,01/08/2021,band_e,1012650992
BEDC,01/09/2021,lifeline,143670.01
BEDC,01/09/2021,band_a,1660937098
BEDC,01/09/2021,band_b,897523676.5
BEDC,01/09/2021,band_c,865765826.9
BEDC,01/09/2021,band_d,675936755.5
BEDC,01/09/2021,band_e,825544591.3
BEDC,01/10/2021,lifeline,223973
BEDC,01/10/2021,band_a,1733772419
BEDC,01/10/2021,band_b,900728132
BEDC,01/10/2021,band_c,936364987.9
BEDC,01/10/2021,band_d,656438740.6
BEDC,01/10/2021,band_e,973821334.8
BEDC,01/11/2021,lifeline,234150.01
BEDC,01/11/2021,band_a,1690879239
BEDC,01/11/2021,band_b,916050739.2
BEDC,01/11/2021,band_c,912503304.5
BEDC,01/11/2021,band_d,668013602.4
BEDC,01/11/2021,band_e,982788323.9
BEDC,01/12/2021,lifeline,234150.01
BEDC,01/12/2021,band_a,1681857723
BEDC,01/12/2021,band_b,912001005.4
BEDC,01/12/2021,band_c,878115965.1
BEDC,01/12/2021,band_d,661636669.5
BEDC,01/12/2021,band_e,950061756.5
BEDC,01/01/2022,lifeline,230370.03
BEDC,01/01/2022,band_a,1897161576
BEDC,01/01/2022,band_b,1009972672
BEDC,01/01/2022,band_c,924075504.7
BEDC,01/01/2022,band_d,621200675.7
BEDC,01/01/2022,band_e,959159732.2
BEDC,01/02/2022,lifeline,161350
BEDC,01/02/2022,band_a,2468979713
BEDC,01/02/2022,band_b,856698152.3
BEDC,01/02/2022,band_c,888901851.6
BEDC,01/02/2022,band_d,593745753.1
BEDC,01/02/2022,band_e,902897158.1
BEDC,01/03/2022,lifeline,365850
BEDC,01/03/2022,band_a,2349351661
BEDC,01/03/2022,band_b,876318686.5
BEDC,01/03/2022,band_c,839677211.7
BEDC,01/03/2022,band_d,624970456.1
BEDC,01/03/2022,band_e,880858618.5
BEDC,01/04/2022,lifeline,271300.07
BEDC,01/04/2022,band_a,2114592101
BEDC,01/04/2022,band_b,810257117.4
BEDC,01/04/2022,band_c,847161579.8
BEDC,01/04/2022,band_d,1005822102
BEDC,01/04/2022,band_e,894048254.7
BEDC,01/05/2022,lifeline,448600.02
BEDC,01/05/2022,band_a,1724412051
BEDC,01/05/2022,band_b,790440433.3
BEDC,01/05/2022,band_c,876493431.8
BEDC,01/05/2022,band_d,634238139.6
BEDC,01/05/2022,band_e,911460751.6
BEDC,01/06/2022,lifeline,413351
BEDC,01/06/2022,band_a,1975237455
BEDC,01/06/2022,band_b,766846567.2
BEDC,01/06/2022,band_c,976561616.9
BEDC,01/06/2022,band_d,693335547.9
BEDC,01/06/2022,band_e,1021513362
BEDC,01/07/2022,lifeline,227920.01
BEDC,01/07/2022,band_a,2005732495
BEDC,01/07/2022,band_b,835650911.7
BEDC,01/07/2022,band_c,942524651
BEDC,01/07/2022,band_d,682459467.5
BEDC,01/07/2022,band_e,1004050466
BEDC,01/08/2022,lifeline,303250
BEDC,01/08/2022,band_a,2687360715
BEDC,01/08/2022,band_b,894658545.9
BEDC,01/08/2022,band_c,966531120
BEDC,01/08/2022,band_d,685503196.8
BEDC,01/08/2022,band_e,1018640043
BEDC,01/09/2022,lifeline,292651
BEDC,01/09/2022,band_a,2989853743
BEDC,01/09/2022,band_b,918217191.8
BEDC,01/09/2022,band_c,1058406232
BEDC,01/09/2022,band_d,742651792.8
BEDC,01/09/2022,band_e,1093975432
EKEDC,01/11/2020,lifeline,0
EKEDC,01/11/2020,band_a,2805104332
EKEDC,01/11/2020,band_b,3433583969
EKEDC,01/11/2020,band_c,1235383041
EKEDC,01/11/2020,band_d,1504147932
EKEDC,01/11/2020,band_e,421351864.6
EKEDC,01/12/2020,lifeline,0
EKEDC,01/12/2020,band_a,3151921697
EKEDC,01/12/2020,band_b,3635166185
EKEDC,01/12/2020,band_c,1296147966
EKEDC,01/12/2020,band_d,1559364699
EKEDC,01/12/2020,band_e,413491723.8
EKEDC,01/01/2021,lifeline,0
EKEDC,01/01/2021,band_a,3326562955
EKEDC,01/01/2021,band_b,3691388266
EKEDC,01/01/2021,band_c,1294356886
EKEDC,01/01/2021,band_d,1598928807
EKEDC,01/01/2021,band_e,405820005
EKEDC,01/02/2021,lifeline,0
EKEDC,01/02/2021,band_a,2923408732
EKEDC,01/02/2021,band_b,3719685632
EKEDC,01/02/2021,band_c,1365980069
EKEDC,01/02/2021,band_d,1584674648
EKEDC,01/02/2021,band_e,412946286.4
EKEDC,01/03/2021,lifeline,0
EKEDC,01/03/2021,band_a,2759308558
EKEDC,01/03/2021,band_b,3313676670
EKEDC,01/03/2021,band_c,1482497233
EKEDC,01/03/2021,band_d,1355603201
EKEDC,01/03/2021,band_e,380258688.2
EKEDC,01/04/2021,lifeline,0
EKEDC,01/04/2021,band_a,3019992836
EKEDC,01/04/2021,band_b,3524622793
EKEDC,01/04/2021,band_c,1472974790
EKEDC,01/04/2021,band_d,1377990449
EKEDC,01/04/2021,band_e,405460275.1
EKEDC,01/05/2021,lifeline,0
EKEDC,01/05/2021,band_a,2823864118
EKEDC,01/05/2021,band_b,3316414135
EKEDC,01/05/2021,band_c,1591138115
EKEDC,01/05/2021,band_d,1429545968
EKEDC,01/05/2021,band_e,396444673.6
EKEDC,01/06/2021,lifeline,0
EKEDC,01/06/2021,band_a,2741093087
EKEDC,01/06/2021,band_b,3171168297
EKEDC,01/06/2021,band_c,1485755954
EKEDC,01/06/2021,band_d,1477285873
EKEDC,01/06/2021,band_e,416671943.1
EKEDC,01/07/2021,lifeline,0
EKEDC,01/07/2021,band_a,2768190222
EKEDC,01/07/2021,band_b,3177294074
EKEDC,01/07/2021,band_c,1628045810
EKEDC,01/07/2021,band_d,1690655346
EKEDC,01/07/2021,band_e,483211147.5
EKEDC,01/08/2021,lifeline,0
EKEDC,01/08/2021,band_a,3006633137
EKEDC,01/08/2021,band_b,3407090262
EKEDC,01/08/2021,band_c,1464763357
EKEDC,01/08/2021,band_d,1629040719
EKEDC,01/08/2021,band_e,471714342.2
EKEDC,01/09/2021,lifeline,0
EKEDC,01/09/2021,band_a,2484539908
EKEDC,01/09/2021,band_b,3497061661
EKEDC,01/09/2021,band_c,1392352486
EKEDC,01/09/2021,band_d,1673790240
EKEDC,01/09/2021,band_e,494705221.3
EKEDC,01/10/2021,lifeline,0
EKEDC,01/10/2021,band_a,3479538633
EKEDC,01/10/2021,band_b,3701080109
EKEDC,01/10/2021,band_c,1562711461
EKEDC,01/10/2021,band_d,1689801964
EKEDC,01/10/2021,band_e,476970021.3
EKEDC,01/11/2021,lifeline,0
EKEDC,01/11/2021,band_a,3399408277
EKEDC,01/11/2021,band_b,3822207282
EKEDC,01/11/2021,band_c,1580674319
EKEDC,01/11/2021,band_d,1737304061
EKEDC,01/11/2021,band_e,499892005.1
EKEDC,01/12/2021,lifeline,0
EKEDC,01/12/2021,band_a,3679595360
EKEDC,01/12/2021,band_b,4141111681
EKEDC,01/12/2021,band_c,1546986096
EKEDC,01/12/2021,band_d,1537125904
EKEDC,01/12/2021,band_e,409256086.7
EKEDC,01/01/2022,lifeline,0
EKEDC,01/01/2022,band_a,3245857513
EKEDC,01/01/2022,band_b,3537902863
EKEDC,01/01/2022,band_c,1408656845
EKEDC,01/01/2022,band_d,1428524833
EKEDC,01/01/2022,band_e,410904624.8
EKEDC,01/02/2022,lifeline,0
EKEDC,01/02/2022,band_a,4517232776
EKEDC,01/02/2022,band_b,2864078853
EKEDC,01/02/2022,band_c,1332037370
EKEDC,01/02/2022,band_d,988119596
EKEDC,01/02/2022,band_e,249063510.2
EKEDC,01/03/2022,lifeline,0
EKEDC,01/03/2022,band_a,3852408055
EKEDC,01/03/2022,band_b,2466487125
EKEDC,01/03/2022,band_c,1430847383
EKEDC,01/03/2022,band_d,1012778963
EKEDC,01/03/2022,band_e,221383838.7
EKEDC,01/04/2022,lifeline,0
EKEDC,01/04/2022,band_a,3734189862
EKEDC,01/04/2022,band_b,2780383399
EKEDC,01/04/2022,band_c,1506455314
EKEDC,01/04/2022,band_d,1120114732
EKEDC,01/04/2022,band_e,230742458.7
EKEDC,01/05/2022,lifeline,0
EKEDC,01/05/2022,band_a,4049755666
EKEDC,01/05/2022,band_b,2651375838
EKEDC,01/05/2022,band_c,1383038587
EKEDC,01/05/2022,band_d,1007577550
EKEDC,01/05/2022,band_e,224819290
EKEDC,01/06/2022,lifeline,0
EKEDC,01/06/2022,band_a,3935575870
EKEDC,01/06/2022,band_b,2570078952
EKEDC,01/06/2022,band_c,1408109948
EKEDC,01/06/2022,band_d,1004782846
EKEDC,01/06/2022,band_e,180299060.1
EKEDC,01/07/2022,lifeline,0
EKEDC,01/07/2022,band_a,4230251020
EKEDC,01/07/2022,band_b,3081095831
EKEDC,01/07/2022,band_c,1566852645
EKEDC,01/07/2022,band_d,1197092803
EKEDC,01/07/2022,band_e,230528363.3
EKEDC,01/08/2022,lifeline,0
EKEDC,01/08/2022,band_a,4388024154
EKEDC,01/08/2022,band_b,3490171344
EKEDC,01/08/2022,band_c,1747354448
EKEDC,01/08/2022,band_d,1257490622
EKEDC,01/08/2022,band_e,254751949.5
EKEDC,01/09/2022,lifeline,0
EKEDC,01/09/2022,band_a,4486790458
EKEDC,01/09/2022,band_b,3461183621
EKEDC,01/09/2022,band_c,1689888679
EKEDC,01/09/2022,band_d,1187018403
EKEDC,01/09/2022,band_e,92730716.42
EEDC,01/11/2020,lifeline,200768
EEDC,01/11/2020,band_a,1235994960
EEDC,01/11/2020,band_b,1216632815
EEDC,01/11/2020,band_c,2304713111
EEDC,01/11/2020,band_d,540949704.3
EEDC,01/11/2020,band_e,163549239.8
EEDC,01/12/2020,lifeline,126401
EEDC,01/12/2020,band_a,1484615764
EEDC,01/12/2020,band_b,1199362496
EEDC,01/12/2020,band_c,2160197203
EEDC,01/12/2020,band_d,487859367.7
EEDC,01/12/2020,band_e,108591498.6
EEDC,01/01/2021,lifeline,146695
EEDC,01/01/2021,band_a,1720105986
EEDC,01/01/2021,band_b,1252697218
EEDC,01/01/2021,band_c,2258584510
EEDC,01/01/2021,band_d,551040700.2
EEDC,01/01/2021,band_e,127875721.8
EEDC,01/02/2021,lifeline,181603
EEDC,01/02/2021,band_a,1659226893
EEDC,01/02/2021,band_b,1379985651
EEDC,01/02/2021,band_c,2297525846
EEDC,01/02/2021,band_d,589179113.4
EEDC,01/02/2021,band_e,133550006
EEDC,01/03/2021,lifeline,115849
EEDC,01/03/2021,band_a,1631845732
EEDC,01/03/2021,band_b,1234456310
EEDC,01/03/2021,band_c,2136296864
EEDC,01/03/2021,band_d,527045289.7
EEDC,01/03/2021,band_e,104866225.6
EEDC,01/04/2021,lifeline,104209
EEDC,01/04/2021,band_a,1489088292
EEDC,01/04/2021,band_b,1217253409
EEDC,01/04/2021,band_c,2144209525
EEDC,01/04/2021,band_d,507817744.7
EEDC,01/04/2021,band_e,97095021.97
EEDC,01/05/2021,lifeline,124035
EEDC,01/05/2021,band_a,1646920622
EEDC,01/05/2021,band_b,1163697086
EEDC,01/05/2021,band_c,2211788937
EEDC,01/05/2021,band_d,557047924.3
EEDC,01/05/2021,band_e,101423229.1
EEDC,01/06/2021,lifeline,102414
EEDC,01/06/2021,band_a,1489495669
EEDC,01/06/2021,band_b,1162659905
EEDC,01/06/2021,band_c,2184734178
EEDC,01/06/2021,band_d,718423446.9
EEDC,01/06/2021,band_e,197638221.9
EEDC,01/07/2021,lifeline,75335
EEDC,01/07/2021,band_a,1541290421
EEDC,01/07/2021,band_b,1168601012
EEDC,01/07/2021,band_c,2059049461
EEDC,01/07/2021,band_d,649027877.4
EEDC,01/07/2021,band_e,175822762.5
EEDC,01/08/2021,lifeline,83473
EEDC,01/08/2021,band_a,1406655183
EEDC,01/08/2021,band_b,1187184165
EEDC,01/08/2021,band_c,2049524571
EEDC,01/08/2021,band_d,667477962.1
EEDC,01/08/2021,band_e,171473348.5
EEDC,01/09/2021,lifeline,75953
EEDC,01/09/2021,band_a,1451664803
EEDC,01/09/2021,band_b,1248615768
EEDC,01/09/2021,band_c,2059960322
EEDC,01/09/2021,band_d,610315138.3
EEDC,01/09/2021,band_e,139810426.8
EEDC,01/10/2021,lifeline,107451
EEDC,01/10/2021,band_a,1469080118
EEDC,01/10/2021,band_b,1312871417
EEDC,01/10/2021,band_c,2238253721
EEDC,01/10/2021,band_d,688159655.1
EEDC,01/10/2021,band_e,160541023.6
EEDC,01/11/2021,lifeline,198001
EEDC,01/11/2021,band_a,1648091983
EEDC,01/11/2021,band_b,1372607329
EEDC,01/11/2021,band_c,2497597145
EEDC,01/11/2021,band_d,812910083.6
EEDC,01/11/2021,band_e,255332609.3
EEDC,01/12/2021,lifeline,175510
EEDC,01/12/2021,band_a,1563210524
EEDC,01/12/2021,band_b,1293575176
EEDC,01/12/2021,band_c,2309651704
EEDC,01/12/2021,band_d,732293328.5
EEDC,01/12/2021,band_e,242412673.1
EEDC,01/01/2022,lifeline,135230
EEDC,01/01/2022,band_a,1508465993
EEDC,01/01/2022,band_b,1253470596
EEDC,01/01/2022,band_c,2352014558
