disco,date,band,energy_kwh
AEDC,01/11/2020,lifeline,1477
AEDC,01/11/2020,band_a,117256978
AEDC,01/11/2020,band_b,28507453
AEDC,01/11/2020,band_c,16950850
AEDC,01/11/2020,band_d,45160575
AEDC,01/11/2020,band_e,11256207
AEDC,01/12/2020,lifeline,8764
AEDC,01/12/2020,band_a,120776360
AEDC,01/12/2020,band_b,22221500
AEDC,01/12/2020,band_c,15809578
AEDC,01/12/2020,band_d,44851845
AEDC,01/12/2020,band_e,10291202
AEDC,01/01/2021,lifeline,21968
AEDC,01/01/2021,band_a,117464413
AEDC,01/01/2021,band_b,25044317
AEDC,01/01/2021,band_c,17866533
AEDC,01/01/2021,band_d,53512330
AEDC,01/01/2021,band_e,12130981
AEDC,01/02/2021,lifeline,45777
AEDC,01/02/2021,band_a,126489248
AEDC,01/02/2021,band_b,29277329
AEDC,01/02/2021,band_c,17960255
AEDC,01/02/2021,band_d,45468484
AEDC,01/02/2021,band_e,9511333
AEDC,01/03/2021,lifeline,1473
AEDC,01/03/2021,band_a,131216617
AEDC,01/03/2021,band_b,25407367
AEDC,01/03/2021,band_c,17064867
AEDC,01/03/2021,band_d,49285800
AEDC,01/03/2021,band_e,10109476
AEDC,01/04/2021,lifeline,826
AEDC,01/04/2021,band_a,123869171
AEDC,01/04/2021,band_b,22929434
AEDC,01/04/2021,band_c,16961564
AEDC,01/04/2021,band_d,49225261
AEDC,01/04/2021,band_e,9352969
AEDC,01/05/2021,lifeline,850
AEDC,01/05/2021,band_a,112455713
AEDC,01/05/2021,band_b,20721622
AEDC,01/05/2021,band_c,14464156
AEDC,01/05/2021,band_d,46918413
AEDC,01/05/2021,band_e,8879826
AEDC,01/06/2021,lifeline,1326
AEDC,01/06/2021,band_a,110272037
AEDC,01/06/2021,band_b,20739134
AEDC,01/06/2021,band_c,15997487
AEDC,01/06/2021,band_d,44849310
AEDC,01/06/2021,band_e,8833722
AEDC,01/07/2021,lifeline,4025
AEDC,01/07/2021,band_a,120521457
AEDC,01/07/2021,band_b,24124547
AEDC,01/07/2021,band_c,19073807
AEDC,01/07/2021,band_d,49163440
AEDC,01/07/2021,band_e,10073571
AEDC,01/08/2021,lifeline,12257
AEDC,01/08/2021,band_a,117453564
AEDC,01/08/2021,band_b,21173454
AEDC,01/08/2021,band_c,16634111
AEDC,01/08/2021,band_d,46662185
AEDC,01/08/2021,band_e,9380746
AEDC,01/09/2021,lifeline,6435
AEDC,01/09/2021,band_a,124080539
AEDC,01/09/2021,band_b,21679618
AEDC,01/09/2021,band_c,16269174
AEDC,01/09/2021,band_d,46855736
AEDC,01/09/2021,band_e,8510503
AEDC,01/10/2021,lifeline,4361
AEDC,01/10/2021,band_a,129941059
AEDC,01/10/2021,band_b,23208976
AEDC,01/10/2021,band_c,16626468
AEDC,01/10/2021,band_d,46623773
AEDC,01/10/2021,band_e,8891346
AEDC,01/11/2021,lifeline,6526
AEDC,01/11/2021,band_a,137050845
AEDC,01/11/2021,band_b,23587459
AEDC,01/11/2021,band_c,17333528
AEDC,01/11/2021,band_d,48149998
AEDC,01/11/2021,band_e,9148073
AEDC,01/12/2021,lifeline,10394
AEDC,01/12/2021,band_a,128071083
AEDC,01/12/2021,band_b,22123255
AEDC,01/12/2021,band_c,16770464
AEDC,01/12/2021,band_d,46999870
AEDC,01/12/2021,band_e,9070691
AEDC,01/01/2022,lifeline,17689
AEDC,01/01/2022,band_a,120951535
AEDC,01/01/2022,band_b,21014666
AEDC,01/01/2022,band_c,16349262
AEDC,01/01/2022,band_d,46276124
AEDC,01/01/2022,band_e,8113325
AEDC,01/02/2022,lifeline,9024
AEDC,01/02/2022,band_a,121731599
AEDC,01/02/2022,band_b,21316928
AEDC,01/02/2022,band_c,14971267
AEDC,01/02/2022,band_d,47225734
AEDC,01/02/2022,band_e,7857476
AEDC,01/03/2022,lifeline,7019
AEDC,01/03/2022,band_a,123528143
AEDC,01/03/2022,band_b,23753265
AEDC,01/03/2022,band_c,14952634
AEDC,01/03/2022,band_d,47306558
AEDC,01/03/2022,band_e,7388297
AEDC,01/04/2022,lifeline,11800
AEDC,01/04/2022,band_a,118122959
AEDC,01/04/2022,band_b,21545864
AEDC,01/04/2022,band_c,13757363
AEDC,01/04/2022,band_d,47247800
AEDC,01/04/2022,band_e,7453769
AEDC,01/05/2022,lifeline,4874
AEDC,01/05/2022,band_a,110601474
AEDC,01/05/2022,band_b,19009777
AEDC,01/05/2022,band_c,12481320
AEDC,01/05/2022,band_d,41582671
AEDC,01/05/2022,band_e,7059485
AEDC,01/06/2022,lifeline,4166
AEDC,01/06/2022,band_a,108253701
AEDC,01/06/2022,band_b,20972290
AEDC,01/06/2022,band_c,13619168
AEDC,01/06/2022,band_d,43733829
AEDC,01/06/2022,band_e,8266442
AEDC,01/07/2022,lifeline,5928
AEDC,01/07/2022,band_a,119865837
AEDC,01/07/2022,band_b,24473695
AEDC,01/07/2022,band_c,15487974
AEDC,01/07/2022,band_d,47234817
AEDC,01/07/2022,band_e,10365958
AEDC,01/08/2022,lifeline,6927
AEDC,01/08/2022,band_a,120537746
AEDC,01/08/2022,band_b,26183870
AEDC,01/08/2022,band_c,16386935
AEDC,01/08/2022,band_d,60450041
AEDC,01/08/2022,band_e,10085410
AEDC,01/09/2022,lifeline,2197
AEDC,01/09/2022,band_a,127784620
AEDC,01/09/2022,band_b,26340892
AEDC,01/09/2022,band_c,15674453
AEDC,01/09/2022,band_d,58532577
AEDC,01/09/2022,band_e,10510774
BEDC,01/11/2020,lifeline,0
BEDC,01/11/2020,band_a,42932333.72
BEDC,01/11/2020,band_b,26521543.6
BEDC,01/11/2020,band_c,35303573.8
BEDC,01/11/2020,band_d,38508980.6
BEDC,01/11/2020,band_e,51820391.58
BEDC,01/12/2020,lifeline,0
BEDC,01/12/2020,band_a,43363825.96
BEDC,01/12/2020,band_b,23705185.8
BEDC,01/12/2020,band_c,41601100.9
BEDC,01/12/2020,band_d,38365007.6
BEDC,01/12/2020,band_e,53469355.6
BEDC,01/01/2021,lifeline,0
BEDC,01/01/2021,band_a,44848803.15
BEDC,01/01/2021,band_b,24024928
BEDC,01/01/2021,band_c,43878138.14
BEDC,01/01/2021,band_d,39961069.6
BEDC,01/01/2021,band_e,51136024.04
BEDC,01/02/2021,lifeline,0
BEDC,01/02/2021,band_a,43324064.91
BEDC,01/02/2021,band_b,20486222.6
BEDC,01/02/2021,band_c,38589297
BEDC,01/02/2021,band_d,32598726.3
BEDC,01/02/2021,band_e,44631792
BEDC,01/03/2021,lifeline,0
BEDC,01/03/2021,band_a,40130295.17
BEDC,01/03/2021,band_b,26248580.7
BEDC,01/03/2021,band_c,38527706
BEDC,01/03/2021,band_d,36519625.9
BEDC,01/03/2021,band_e,60578033.1
BEDC,01/04/2021,lifeline,0
BEDC,01/04/2021,band_a,36140711.41
BEDC,01/04/2021,band_b,26163106.2
BEDC,01/04/2021,band_c,37393440.6
BEDC,01/04/2021,band_d,27244771.1
BEDC,01/04/2021,band_e,54044561.6
BEDC,01/05/2021,lifeline,0
BEDC,01/05/2021,band_a,33599954.13
BEDC,01/05/2021,band_b,29760484.9
BEDC,01/05/2021,band_c,39690433
BEDC,01/05/2021,band_d,28346038.7
BEDC,01/05/2021,band_e,56413206
BEDC,01/06/2021,lifeline,0
BEDC,01/06/2021,band_a,34176573.99
BEDC,01/06/2021,band_b,23693131.9
BEDC,01/06/2021,band_c,32151005.08
BEDC,01/06/2021,band_d,25387436.3
BEDC,01/06/2021,band_e,56983032.5
BEDC,01/07/2021,lifeline,0
BEDC,01/07/2021,band_a,36219674.19
BEDC,01/07/2021,band_b,24472881.2
BEDC,01/07/2021,band_c,36890034.16
BEDC,01/07/2021,band_d,29431963.7
BEDC,01/07/2021,band_e,60837147.1
BEDC,01/08/2021,lifeline,0
BEDC,01/08/2021,band_a,40235978.31
BEDC,01/08/2021,band_b,24941605.8
BEDC,01/08/2021,band_c,34177384.9
BEDC,01/08/2021,band_d,27115903
BEDC,01/08/2021,band_e,51831039.5
BEDC,01/09/2021,lifeline,76825
BEDC,01/09/2021,band_a,36631960.81
BEDC,01/09/2021,band_b,28640033
BEDC,01/09/2021,band_c,39759007.42
BEDC,01/09/2021,band_d,39248657.8
BEDC,01/09/2021,band_e,46385139.1
BEDC,01/10/2021,lifeline,55533
BEDC,01/10/2021,band_a,35326916.25
BEDC,01/10/2021,band_b,26811915.4
BEDC,01/10/2021,band_c,38390622.8
BEDC,01/10/2021,band_d,36355357.8
BEDC,01/10/2021,band_e,45795501.8
BEDC,01/11/2021,lifeline,80855
BEDC,01/11/2021,band_a,31034820.42
BEDC,01/11/2021,band_b,29142889.6
BEDC,01/11/2021,band_c,46689662.1
BEDC,01/11/2021,band_d,42847532.6
BEDC,01/11/2021,band_e,56817143.4
BEDC,01/12/2021,lifeline,81772
BEDC,01/12/2021,band_a,33855392.3
BEDC,01/12/2021,band_b,31166987.9
BEDC,01/12/2021,band_c,44309650.8
BEDC,01/12/2021,band_d,41789582
BEDC,01/12/2021,band_e,57194349.2
BEDC,01/01/2022,lifeline,77559
BEDC,01/01/2022,band_a,35011783.47
BEDC,01/01/2022,band_b,27805662.7
BEDC,01/01/2022,band_c,39332474.89
BEDC,01/01/2022,band_d,36660398.4
BEDC,01/01/2022,band_e,49105579.6
BEDC,01/02/2022,lifeline,76333
BEDC,01/02/2022,band_a,48679575.84
BEDC,01/02/2022,band_b,26357067.4
BEDC,01/02/2022,band_c,38250365.7
BEDC,01/02/2022,band_d,37149188.1
BEDC,01/02/2022,band_e,50488855
BEDC,01/03/2022,lifeline,55620
BEDC,01/03/2022,band_a,38201837.53
BEDC,01/03/2022,band_b,21935999.7
BEDC,01/03/2022,band_c,34948493.87
BEDC,01/03/2022,band_d,31346893.1
BEDC,01/03/2022,band_e,42326431.2
BEDC,01/04/2022,lifeline,53373
BEDC,01/04/2022,band_a,37914927.61
BEDC,01/04/2022,band_b,23043128.9
BEDC,01/04/2022,band_c,36576741
BEDC,01/04/2022,band_d,34631429.7
BEDC,01/04/2022,band_e,44119372.7
BEDC,01/05/2022,lifeline,88990
BEDC,01/05/2022,band_a,32336864.56
BEDC,01/05/2022,band_b,22336749.5
BEDC,01/05/2022,band_c,33377174.51
BEDC,01/05/2022,band_d,32329842
BEDC,01/05/2022,band_e,42188311.1
BEDC,01/06/2022,lifeline,112941
BEDC,01/06/2022,band_a,35567355.68
BEDC,01/06/2022,band_b,23894098.7
BEDC,01/06/2022,band_c,37200117.39
BEDC,01/06/2022,band_d,35635101.8
BEDC,01/06/2022,band_e,51229871.1
BEDC,01/07/2022,lifeline,93335
BEDC,01/07/2022,band_a,37855594.98
BEDC,01/07/2022,band_b,23763549.7
BEDC,01/07/2022,band_c,37603260.51
BEDC,01/07/2022,band_d,38029678.8
BEDC,01/07/2022,band_e,50594876
BEDC,01/08/2022,lifeline,92140
BEDC,01/08/2022,band_a,49792995.23
BEDC,01/08/2022,band_b,23495958.8
BEDC,01/08/2022,band_c,34626992.69
BEDC,01/08/2022,band_d,38562643.7
BEDC,01/08/2022,band_e,50569860.7
BEDC,01/09/2022,lifeline,88493
BEDC,01/09/2022,band_a,54303387.58
BEDC,01/09/2022,band_b,24228772.2
BEDC,01/09/2022,band_c,37945948.23
BEDC,01/09/2022,band_d,37392506.8
BEDC,01/09/2022,band_e,50664167.9
EKEDC,01/11/2020,lifeline,0
EKEDC,01/11/2020,band_a,53542075.28
EKEDC,01/11/2020,band_b,75933260.33
EKEDC,01/11/2020,band_c,45114209.64
EKEDC,01/11/2020,band_d,74429778.07
EKEDC,01/11/2020,band_e,21872360.41
EKEDC,01/12/2020,lifeline,0
EKEDC,01/12/2020,band_a,62957439.99
EKEDC,01/12/2020,band_b,84222049.6
EKEDC,01/12/2020,band_c,50206285.62
EKEDC,01/12/2020,band_d,80531340.57
EKEDC,01/12/2020,band_e,22135656.39
EKEDC,01/01/2021,lifeline,0
EKEDC,01/01/2021,band_a,60433198.37
EKEDC,01/01/2021,band_b,81998473.88
EKEDC,01/01/2021,band_c,49865668.1
EKEDC,01/01/2021,band_d,84227616.65
EKEDC,01/01/2021,band_e,21355329.79
EKEDC,01/02/2021,lifeline,0
EKEDC,01/02/2021,band_a,52246289.06
EKEDC,01/02/2021,band_b,76766134.4
EKEDC,01/02/2021,band_c,46644844.17
EKEDC,01/02/2021,band_d,74812504.85
EKEDC,01/02/2021,band_e,21120364.73
EKEDC,01/03/2021,lifeline,0
EKEDC,01/03/2021,band_a,51368441.89
EKEDC,01/03/2021,band_b,73525691.01
EKEDC,01/03/2021,band_c,47793968.82
EKEDC,01/03/2021,band_d,70186065.1
EKEDC,01/03/2021,band_e,18995061.51
EKEDC,01/04/2021,lifeline,0
EKEDC,01/04/2021,band_a,53035749.68
EKEDC,01/04/2021,band_b,73549693.08
EKEDC,01/04/2021,band_c,44156909.81
EKEDC,01/04/2021,band_d,62598587.7
EKEDC,01/04/2021,band_e,19520820.95
EKEDC,01/05/2021,lifeline,0
EKEDC,01/05/2021,band_a,50175600.09
EKEDC,01/05/2021,band_b,67124102.42
EKEDC,01/05/2021,band_c,44786458.17
EKEDC,01/05/2021,band_d,66970168.92
EKEDC,01/05/2021,band_e,20379825.8
EKEDC,01/06/2021,lifeline,0
EKEDC,01/06/2021,band_a,46013719.09
EKEDC,01/06/2021,band_b,59248731.72
EKEDC,01/06/2021,band_c,42083572.06
EKEDC,01/06/2021,band_d,64162026.21
EKEDC,01/06/2021,band_e,18039448.48
EKEDC,01/07/2021,lifeline,0
EKEDC,01/07/2021,band_a,47316138.43
EKEDC,01/07/2021,band_b,60535844
EKEDC,01/07/2021,band_c,45627675.09
EKEDC,01/07/2021,band_d,74360013.01
EKEDC,01/07/2021,band_e,21621781.01
EKEDC,01/08/2021,lifeline,0
EKEDC,01/08/2021,band_a,49816507.37
EKEDC,01/08/2021,band_b,67629159.92
EKEDC,01/08/2021,band_c,43631589.63
EKEDC,01/08/2021,band_d,78275183.61
EKEDC,01/08/2021,band_e,23414485.77
EKEDC,01/09/2021,lifeline,0
EKEDC,01/09/2021,band_a,46755494.17
EKEDC,01/09/2021,band_b,65129037.99
EKEDC,01/09/2021,band_c,38855935.06
EKEDC,01/09/2021,band_d,70123931.74
EKEDC,01/09/2021,band_e,21824484.79
EKEDC,01/10/2021,lifeline,0
EKEDC,01/10/2021,band_a,53520824.4
EKEDC,01/10/2021,band_b,73013164.89
EKEDC,01/10/2021,band_c,45540716.57
EKEDC,01/10/2021,band_d,77548403.53
EKEDC,01/10/2021,band_e,22342268.67
EKEDC,01/11/2021,lifeline,0
EKEDC,01/11/2021,band_a,54609155.72
EKEDC,01/11/2021,band_b,74130052.1
EKEDC,01/11/2021,band_c,44441179.36
EKEDC,01/11/2021,band_d,74313148.42
EKEDC,01/11/2021,band_e,21741812.93
EKEDC,01/12/2021,lifeline,0
EKEDC,01/12/2021,band_a,62183280.77
EKEDC,01/12/2021,band_b,79446033.64
EKEDC,01/12/2021,band_c,47504287.66
EKEDC,01/12/2021,band_d,72437045.33
EKEDC,01/12/2021,band_e,20878094.49
EKEDC,01/01/2022,lifeline,0
EKEDC,01/01/2022,band_a,56346740.17
EKEDC,01/01/2022,band_b,68848321.44
EKEDC,01/01/2022,band_c,39851374.61
EKEDC,01/01/2022,band_d,67000264.76
EKEDC,01/01/2022,band_e,19340733.3
EKEDC,01/02/2022,lifeline,0
EKEDC,01/02/2022,band_a,73770499.17
EKEDC,01/02/2022,band_b,55537925.76
EKEDC,01/02/2022,band_c,39393319.83
EKEDC,01/02/2022,band_d,43653291.87
EKEDC,01/02/2022,band_e,8272978.35
EKEDC,01/03/2022,lifeline,0
EKEDC,01/03/2022,band_a,66403933.63
EKEDC,01/03/2022,band_b,47422455.14
EKEDC,01/03/2022,band_c,34881830.29
EKEDC,01/03/2022,band_d,37690208.77
EKEDC,01/03/2022,band_e,7357329.9
EKEDC,01/04/2022,lifeline,0
EKEDC,01/04/2022,band_a,66384173.34
EKEDC,01/04/2022,band_b,55088513.23
EKEDC,01/04/2022,band_c,38380243.99
EKEDC,01/04/2022,band_d,43199107.13
EKEDC,01/04/2022,band_e,7637390.714
EKEDC,01/05/2022,lifeline,0
EKEDC,01/05/2022,band_a,74686456.56
EKEDC,01/05/2022,band_b,57841339.18
EKEDC,01/05/2022,band_c,35825448.02
EKEDC,01/05/2022,band_d,45763193.68
EKEDC,01/05/2022,band_e,7779882.643
EKEDC,01/06/2022,lifeline,0
EKEDC,01/06/2022,band_a,64886059.28
EKEDC,01/06/2022,band_b,47546916.38
EKEDC,01/06/2022,band_c,30007437.26
EKEDC,01/06/2022,band_d,34909177.58
EKEDC,01/06/2022,band_e,5722331.76
EKEDC,01/07/2022,lifeline,0
EKEDC,01/07/2022,band_a,69694543.12
EKEDC,01/07/2022,band_b,59973106.77
EKEDC,01/07/2022,band_c,34261338
EKEDC,01/07/2022,band_d,40355053.12
EKEDC,01/07/2022,band_e,6278549.739
EKEDC,01/08/2022,lifeline,0
EKEDC,01/08/2022,band_a,75954092.16
EKEDC,01/08/2022,band_b,70002211.93
EKEDC,01/08/2022,band_c,41702043.71
EKEDC,01/08/2022,band_d,48526610.22
EKEDC,01/08/2022,band_e,8443039.8
EKEDC,01/09/2022,lifeline,0
EKEDC,01/09/2022,band_a,76017889.78
EKEDC,01/09/2022,band_b,68972827.85
EKEDC,01/09/2022,band_c,40792581.57
EKEDC,01/09/2022,band_d,48432255.24
EKEDC,01/09/2022,band_e,2990470.965
EEDC,01/11/2020,lifeline,38099.982
EEDC,01/11/2020,band_a,35320309.33
EEDC,01/11/2020,band_b,28824489.88
EEDC,01/11/2020,band_c,75839716.94
EEDC,01/11/2020,band_d,22896142.56
EEDC,01/11/2020,band_e,7575574.218
EEDC,01/12/2020,lifeline,22093.845
EEDC,01/12/2020,band_a,38957724.5
EEDC,01/12/2020,band_b,38271571.36
EEDC,01/12/2020,band_c,77797000.36
EEDC,01/12/2020,band_d,28605621.51
EEDC,01/12/2020,band_e,9437312.081
EEDC,01/01/2021,lifeline,18261.58
EEDC,01/01/2021,band_a,38972514.19
EEDC,01/01/2021,band_b,40522309.42
EEDC,01/01/2021,band_c,82608177.5
EEDC,01/01/2021,band_d,29941326.63
EEDC,01/01/2021,band_e,7904171.135
EEDC,01/02/2021,lifeline,160427.2437
EEDC,01/02/2021,band_a,37252314.06
EEDC,01/02/2021,band_b,35434808
EEDC,01/02/2021,band_c,72138351.37
EEDC,01/02/2021,band_d,29947537.94
EEDC,01/02/2021,band_e,8733617.262
EEDC,01/03/2021,lifeline,98950.78267
EEDC,01/03/2021,band_a,35813039.28
EEDC,01/03/2021,band_b,34523580.45
EEDC,01/03/2021,band_c,72279943.8
EEDC,01/03/2021,band_d,29902903.9
EEDC,01/03/2021,band_e,7206374.046
EEDC,01/04/2021,lifeline,62634.85778
EEDC,01/04/2021,band_a,34758516.66
EEDC,01/04/2021,band_b,31721760.17
EEDC,01/04/2021,band_c,67249092.5
EEDC,01/04/2021,band_d,26258436.49
EEDC,01/04/2021,band_e,6171854.063
EEDC,01/05/2021,lifeline,59120.16033
EEDC,01/05/2021,band_a,33177982.06
EEDC,01/05/2021,band_b,29437654.52
EEDC,01/05/2021,band_c,68678927.24
EEDC,01/05/2021,band_d,25982903.95
EEDC,01/05/2021,band_e,5927243.322
EEDC,01/06/2021,lifeline,49596.38232
EEDC,01/06/2021,band_a,30796973.49
EEDC,01/06/2021,band_b,24894208.74
EEDC,01/06/2021,band_c,59539216.15
EEDC,01/06/2021,band_d,28356794.14
EEDC,01/06/2021,band_e,8727995.46
EEDC,01/07/2021,lifeline,48899
EEDC,01/07/2021,band_a,31660579.72
EEDC,01/07/2021,band_b,27277330.44
EEDC,01/07/2021,band_c,65650919.01
EEDC,01/07/2021,band_d,32015415.38
EEDC,01/07/2021,band_e,11516731.82
EEDC,01/08/2021,lifeline,37858.36787
EEDC,01/08/2021,band_a,29470492.84
EEDC,01/08/2021,band_b,27723933.8
EEDC,01/08/2021,band_c,62433233.79
EEDC,01/08/2021,band_d,32167170.35
EEDC,01/08/2021,band_e,10364957.92
EEDC,01/09/2021,lifeline,35603.61575
EEDC,01/09/2021,band_a,28165584.23
EEDC,01/09/2021,band_b,27355645.76
EEDC,01/09/2021,band_c,59803775.65
EEDC,01/09/2021,band_d,31870553.74
EEDC,01/09/2021,band_e,9868314.89
EEDC,01/10/2021,lifeline,33360.29522
EEDC,01/10/2021,band_a,27220891.31
EEDC,01/10/2021,band_b,29783340.17
EEDC,01/10/2021,band_c,61960417.32
EEDC,01/10/2021,band_d,31480243.53
EEDC,01/10/2021,band_e,9329066.971
EEDC,01/11/2021,lifeline,29273.481
EEDC,01/11/2021,band_a,30051363.22
EEDC,01/11/2021,band_b,30412981.79
EEDC,01/11/2021,band_c,63118665.46
EEDC,01/11/2021,band_d,29950070.5
EEDC,01/11/2021,band_e,9333627.38
EEDC,01/12/2021,lifeline,30588.73733
EEDC,01/12/2021,band_a,29566157.57
EEDC,01/12/2021,band_b,31123393.36
EEDC,01/12/2021,band_c,71109363.72
EEDC,01/12/2021,band_d,35316232.09
EEDC,01/12/2021,band_e,13504999.56
EEDC,01/01/2022,lifeline,35149.00596
EEDC,01/01/2022,band_a,28356786.68
EEDC,01/01/2022,band_b,30627201.99
EEDC,01/01/2022,band_c,70059189.64
EEDC,01/01/2022,band_d,36719393.54
